,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,14,0.9856392694063928,0.9653333333333334,0.3233333333333333
1,10,0.7333333333333333,0.04266666666666667,0.08333333333333333
2,11,0.9283555555555557,0.13333333333333333,0.6933333333333334
3,2,0.2738592,0.7813333333333333,0.21
4,2,0.8114346666666667,0.6186666666666667,0.43333333333333335
5,9,0.4083298245614035,0.3493333333333334,0.9633333333333334
6,7,0.20110714285714287,0.736,0.10333333333333333
7,7,0.12066428571428572,0.84,0.72
8,3,0.37599999999999995,0.6933333333333334,0.013333333333333334
9,17,0.64,0.096,0.5
10,11,0.3434666666666667,0.17600000000000002,0.23666666666666666
11,13,0.6773333333333333,0.05066666666666667,0.5966666666666667
12,11,0.37831111111111115,0.912,0.8333333333333334
13,16,0.23586666666666667,0.9173333333333333,0.9233333333333333
14,16,0.8458666666666667,0.42933333333333334,0.16666666666666666
15,9,0.8891052631578947,0.2853333333333334,0.37666666666666665
16,3,0.05199999999999999,0.2186666666666667,0.3
17,1,0.5036203703703703,0.4613333333333334,0.9033333333333333
18,3,0.4759999999999999,0.49333333333333335,0.4766666666666667
19,1,0.540962962962963,0.8026666666666668,0.55
20,4,0.8267589743589744,0.5786666666666668,0.61
21,6,0.036031999999999995,0.5546666666666666,0.8166666666666667
22,13,0.15733333333333333,0.336,0.7433333333333333
